departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
1,comuna 1,2,caba,2024,23,dengue,7,de 20 a 24 anos,1.0
1,comuna 1,2,caba,2024,9,dengue,7,de 20 a 24 anos,81.0
1,comuna 1,2,caba,2024,19,dengue,8,de 25 a 34 anos,12.0
1,comuna 1,2,caba,2024,20,dengue,8,de 25 a 34 anos,6.0
1,comuna 1,2,caba,2024,5,dengue,8,de 25 a 34 anos,7.0
2,comuna 2,2,caba,2024,12,dengue,10,de 45 a 65 anos,4.0
2,comuna 2,2,caba,2024,15,dengue,10,de 45 a 65 anos,5.0
2,comuna 2,2,caba,2024,18,dengue,10,de 45 a 65 anos,1.0
2,comuna 2,2,caba,2024,14,dengue,11,mayores de 65 anos,8.0
2,comuna 2,2,caba,2024,16,dengue,11,mayores de 65 anos,6.0
2,comuna 2,2,caba,2024,9,dengue,11,mayores de 65 anos,3.0
2,comuna 2,2,caba,2024,9,dengue,11,mayores de 65 anos,4.0
2,comuna 2,2,caba,2024,8,dengue,6,de 15 a 19 anos,1.0
2,comuna 2,2,caba,2024,14,dengue,7,de 20 a 24 anos,2.0
2,comuna 2,2,caba,2024,9,dengue,7,de 20 a 24 anos,1.0
999,desconocido,14,cordoba,2024,15,dengue,10,de 45 a 65 anos,2.0
999,desconocido,14,cordoba,2024,17,dengue,10,de 45 a 65 anos,1.0
999,desconocido,14,cordoba,2024,19,dengue,10,de 45 a 65 anos,1.0
999,desconocido,14,cordoba,2024,3,dengue,10,de 45 a 65 anos,1.0
999,desconocido,14,cordoba,2024,10,dengue,9,de 35 a 44 anos,1.0
999,desconocido,2,caba,2024,10,dengue,10,de 45 a 65 anos,8.0
999,desconocido,2,caba,2024,7,dengue,11,mayores de 65 anos,9.0
999,desconocido,2,caba,2024,6,dengue,11,mayores de 65 anos,2.0
999,desconocido,2,caba,2024,14,dengue,6,de 15 a 19 anos,5.0
999,desconocido,2,caba,2024,13,dengue,7,de 20 a 24 anos,5.0
999,desconocido,2,caba,2024,7,dengue,7,de 20 a 24 anos,2.0
999,desconocido,2,caba,2024,4,dengue,8,de 25 a 34 anos,1.0
999,desconocido,2,caba,2024,8,dengue,8,de 25 a 34 anos,4.0
999,desconocido,2,caba,2024,8,dengue,9,de 35 a 44 anos,11.0
999,desconocido,6,buenos aires,2024,14,dengue,11,mayores de 65 anos,2.0
999,desconocido,6,buenos aires,2024,11,dengue,11,mayores de 65 anos,2.0
999,desconocido,6,buenos aires,2024,11,dengue,4,de 5 a 9 anos,1.0
999,desconocido,6,buenos aires,2024,18,dengue,7,de 20 a 24 anos,1.0
999,desconocido,6,buenos aires,2024,15,dengue,8,de 25 a 34 anos,1.0
999,desconocido,6,buenos aires,2024,7,dengue,8,de 25 a 34 anos,1.0
999,desconocido,70,san juan,2024,17,dengue,5,de 10 a 14 anos,1.0
999,desconocido,90,tucuman,2024,10,dengue,11,mayores de 65 anos,1.0
999,desconocido,90,tucuman,2024,14,dengue,9,de 35 a 44 anos,1.0
1,comuna 1,2,caba,2024,20,dengue,10,de 45 a 65 anos,4.0
1,comuna 1,2,caba,2024,5,dengue,10,de 45 a 65 anos,18.0
1,comuna 1,2,caba,2024,10,dengue,11,mayores de 65 anos,271.0
1,comuna 1,2,caba,2024,8,dengue,11,mayores de 65 anos,238.0
1,comuna 1,2,caba,2024,8,dengue,2,de 13 a 24 meses,1.0
1,comuna 1,2,caba,2024,8,dengue,3,de 2 a 4 anos,1.0
1,comuna 1,2,caba,2024,13,dengue,4,de 5 a 9 anos,6.0
1,comuna 1,2,caba,2024,13,dengue,5,de 10 a 14 anos,52.0
1,comuna 1,2,caba,2024,2,dengue,6,de 15 a 19 anos,2.0
1,comuna 1,2,caba,2024,20,dengue,6,de 15 a 19 anos,5.0
1,comuna 1,2,caba,2024,3,dengue,6,de 15 a 19 anos,3.0
1,comuna 1,2,caba,2024,7,dengue,6,de 15 a 19 anos,24.0
1,comuna 1,2,caba,2024,11,dengue,7,de 20 a 24 anos,94.0
1,comuna 1,2,caba,2024,8,dengue,7,de 20 a 24 anos,62.0
1,comuna 1,2,caba,2024,12,dengue,8,de 25 a 34 anos,126.0
1,comuna 1,2,caba,2024,14,dengue,8,de 25 a 34 anos,126.0
1,comuna 1,2,caba,2024,2,dengue,8,de 25 a 34 anos,1.0
1,comuna 1,2,caba,2024,3,dengue,8,de 25 a 34 anos,1.0
1,comuna 1,2,caba,2024,9,dengue,8,de 25 a 34 anos,70.0
1,comuna 1,2,caba,2024,1,dengue,9,de 35 a 44 anos,1.0
1,comuna 1,2,caba,2024,10,dengue,9,de 35 a 44 anos,153.0
1,comuna 1,2,caba,2024,26,dengue,9,de 35 a 44 anos,1.0
2,comuna 2,2,caba,2024,17,dengue,10,de 45 a 65 anos,4.0
999,desconocido,14,cordoba,2024,12,dengue,10,de 45 a 65 anos,1.0
999,desconocido,14,cordoba,2024,12,dengue,11,mayores de 65 anos,1.0
999,desconocido,14,cordoba,2024,16,dengue,8,de 25 a 34 anos,1.0
999,desconocido,14,cordoba,2024,14,dengue,9,de 35 a 44 anos,9.0
999,desconocido,14,cordoba,2024,15,dengue,9,de 35 a 44 anos,1.0
999,desconocido,18,corrientes,2024,6,dengue,11,mayores de 65 anos,1.0
999,desconocido,18,corrientes,2024,13,dengue,9,de 35 a 44 anos,1.0
999,desconocido,2,caba,2024,14,dengue,10,de 45 a 65 anos,12.0
999,desconocido,2,caba,2024,15,dengue,10,de 45 a 65 anos,11.0
999,desconocido,2,caba,2024,20,dengue,10,de 45 a 65 anos,1.0
999,desconocido,2,caba,2024,17,dengue,11,mayores de 65 anos,7.0
999,desconocido,2,caba,2024,20,dengue,11,mayores de 65 anos,1.0
999,desconocido,2,caba,2024,19,dengue,11,mayores de 65 anos,1.0
999,desconocido,2,caba,2024,9,dengue,11,mayores de 65 anos,6.0
999,desconocido,2,caba,2024,9,dengue,5,de 10 a 14 anos,2.0
999,desconocido,2,caba,2024,10,dengue,6,de 15 a 19 anos,6.0
999,desconocido,2,caba,2024,13,dengue,6,de 15 a 19 anos,8.0
999,desconocido,2,caba,2024,6,dengue,7,de 20 a 24 anos,1.0
999,desconocido,2,caba,2024,13,dengue,8,de 25 a 34 anos,3.0
999,desconocido,2,caba,2024,6,dengue,8,de 25 a 34 anos,2.0
999,desconocido,2,caba,2024,16,dengue,9,de 35 a 44 anos,5.0
999,desconocido,2,caba,2024,17,dengue,9,de 35 a 44 anos,7.0
999,desconocido,2,caba,2024,19,dengue,9,de 35 a 44 anos,1.0
999,desconocido,30,entre rios,2024,15,dengue,11,mayores de 65 anos,1.0
999,desconocido,34,formosa,2024,2,dengue,11,mayores de 65 anos,2.0
999,desconocido,34,formosa,2024,20,dengue,11,mayores de 65 anos,1.0
999,desconocido,34,formosa,2024,6,dengue,5,de 10 a 14 anos,1.0
999,desconocido,34,formosa,2024,6,dengue,9,de 35 a 44 anos,1.0
999,desconocido,6,buenos aires,2024,15,dengue,11,mayores de 65 anos,1.0
999,desconocido,6,buenos aires,2024,17,dengue,9,de 35 a 44 anos,1.0
999,desconocido,90,tucuman,2024,15,dengue,9,de 35 a 44 anos,2.0
1,comuna 1,2,caba,2024,17,dengue,10,de 45 a 65 anos,72.0
1,comuna 1,2,caba,2024,21,dengue,10,de 45 a 65 anos,1.0
1,comuna 1,2,caba,2024,13,dengue,11,mayores de 65 anos,394.0
1,comuna 1,2,caba,2024,6,dengue,11,mayores de 65 anos,70.0
1,comuna 1,2,caba,2024,22,dengue,11,mayores de 65 anos,2.0
1,comuna 1,2,caba,2024,3,dengue,11,mayores de 65 anos,1.0
2,comuna 2,2,caba,2024,17,dengue,9,de 35 a 44 anos,2.0
2,comuna 2,2,caba,2024,19,dengue,9,de 35 a 44 anos,2.0
3,comuna 3,2,caba,2024,13,dengue,10,de 45 a 65 anos,26.0
3,comuna 3,2,caba,2024,9,dengue,4,de 5 a 9 anos,1.0
3,comuna 3,2,caba,2024,13,dengue,7,de 20 a 24 anos,9.0
3,comuna 3,2,caba,2024,12,dengue,8,de 25 a 34 anos,8.0
3,comuna 3,2,caba,2024,11,dengue,9,de 35 a 44 anos,21.0
4,comuna 4,2,caba,2024,21,dengue,10,de 45 a 65 anos,1.0
4,comuna 4,2,caba,2024,4,dengue,10,de 45 a 65 anos,6.0
4,comuna 4,2,caba,2024,13,dengue,11,mayores de 65 anos,62.0
4,comuna 4,2,caba,2024,5,dengue,11,mayores de 65 anos,2.0
4,comuna 4,2,caba,2024,7,dengue,11,mayores de 65 anos,2.0
4,comuna 4,2,caba,2024,16,dengue,5,de 10 a 14 anos,4.0
4,comuna 4,2,caba,2024,13,dengue,7,de 20 a 24 anos,16.0
4,comuna 4,2,caba,2024,6,dengue,7,de 20 a 24 anos,3.0
4,comuna 4,2,caba,2024,7,dengue,7,de 20 a 24 anos,1.0
4,comuna 4,2,caba,2024,11,dengue,8,de 25 a 34 anos,24.0
4,comuna 4,2,caba,2024,13,dengue,9,de 35 a 44 anos,43.0
5,comuna 5,2,caba,2024,17,dengue,10,de 45 a 65 anos,9.0
5,comuna 5,2,caba,2024,19,dengue,10,de 45 a 65 anos,1.0
5,comuna 5,2,caba,2024,20,dengue,10,de 45 a 65 anos,1.0
5,comuna 5,2,caba,2024,17,dengue,11,mayores de 65 anos,9.0
5,comuna 5,2,caba,2024,7,dengue,11,mayores de 65 anos,3.0
5,comuna 5,2,caba,2024,19,dengue,11,mayores de 65 anos,2.0
5,comuna 5,2,caba,2024,5,dengue,11,mayores de 65 anos,2.0
5,comuna 5,2,caba,2024,12,dengue,4,de 5 a 9 anos,2.0
5,comuna 5,2,caba,2024,8,dengue,4,de 5 a 9 anos,1.0
5,comuna 5,2,caba,2024,17,dengue,5,de 10 a 14 anos,2.0
5,comuna 5,2,caba,2024,14,dengue,6,de 15 a 19 anos,7.0
5,comuna 5,2,caba,2024,15,dengue,6,de 15 a 19 anos,5.0
5,comuna 5,2,caba,2024,9,dengue,6,de 15 a 19 anos,3.0
6,comuna 6,2,caba,2024,17,dengue,10,de 45 a 65 anos,3.0
6,comuna 6,2,caba,2024,13,dengue,11,mayores de 65 anos,27.0
6,comuna 6,2,caba,2024,6,dengue,11,mayores de 65 anos,6.0
6,comuna 6,2,caba,2024,14,dengue,4,de 5 a 9 anos,1.0
6,comuna 6,2,caba,2024,17,dengue,5,de 10 a 14 anos,2.0
6,comuna 6,2,caba,2024,7,dengue,5,de 10 a 14 anos,1.0
6,comuna 6,2,caba,2024,7,dengue,7,de 20 a 24 anos,2.0
6,comuna 6,2,caba,2024,13,dengue,9,de 35 a 44 anos,21.0
7,comuna 7,2,caba,2024,17,dengue,10,de 45 a 65 anos,8.0
7,comuna 7,2,caba,2024,20,dengue,10,de 45 a 65 anos,3.0
7,comuna 7,2,caba,2024,5,dengue,11,mayores de 65 anos,1.0
7,comuna 7,2,caba,2024,6,dengue,11,mayores de 65 anos,1.0
7,comuna 7,2,caba,2024,16,dengue,5,de 10 a 14 anos,2.0
7,comuna 7,2,caba,2024,15,dengue,6,de 15 a 19 anos,7.0
7,comuna 7,2,caba,2024,18,dengue,6,de 15 a 19 anos,3.0
7,comuna 7,2,caba,2024,13,dengue,7,de 20 a 24 anos,13.0
7,comuna 7,2,caba,2024,7,dengue,7,de 20 a 24 anos,3.0
7,comuna 7,2,caba,2024,10,dengue,8,de 25 a 34 anos,4.0
7,comuna 7,2,caba,2024,11,dengue,8,de 25 a 34 anos,7.0
8,comuna 8,2,caba,2024,10,dengue,10,de 45 a 65 anos,12.0
8,comuna 8,2,caba,2024,9,dengue,10,de 45 a 65 anos,8.0
8,comuna 8,2,caba,2024,11,dengue,11,mayores de 65 anos,8.0
8,comuna 8,2,caba,2024,12,dengue,11,mayores de 65 anos,16.0
8,comuna 8,2,caba,2024,8,dengue,11,mayores de 65 anos,20.0
8,comuna 8,2,caba,2024,10,dengue,11,mayores de 65 anos,3.0
8,comuna 8,2,caba,2024,11,dengue,11,mayores de 65 anos,3.0
8,comuna 8,2,caba,2024,7,dengue,4,de 5 a 9 anos,1.0
8,comuna 8,2,caba,2024,13,dengue,6,de 15 a 19 anos,4.0
999,desconocido,10,catamarca,2024,14,dengue,11,mayores de 65 anos,1.0
999,desconocido,10,catamarca,2024,15,dengue,9,de 35 a 44 anos,1.0
999,desconocido,18,corrientes,2024,3,dengue,11,mayores de 65 anos,1.0
999,desconocido,2,caba,2024,18,dengue,10,de 45 a 65 anos,3.0
999,desconocido,2,caba,2024,16,dengue,11,mayores de 65 anos,8.0
999,desconocido,2,caba,2024,6,dengue,11,mayores de 65 anos,3.0
999,desconocido,2,caba,2024,14,dengue,11,mayores de 65 anos,6.0
999,desconocido,2,caba,2024,17,dengue,7,de 20 a 24 anos,3.0
999,desconocido,2,caba,2024,15,dengue,9,de 35 a 44 anos,7.0
999,desconocido,2,caba,2024,20,dengue,9,de 35 a 44 anos,1.0
999,desconocido,2,caba,2024,7,dengue,9,de 35 a 44 anos,3.0
999,desconocido,6,buenos aires,2024,12,dengue,10,de 45 a 65 anos,4.0
999,desconocido,6,buenos aires,2024,14,dengue,10,de 45 a 65 anos,2.0
999,desconocido,6,buenos aires,2024,15,dengue,10,de 45 a 65 anos,1.0
999,desconocido,6,buenos aires,2024,15,dengue,11,mayores de 65 anos,2.0
999,desconocido,6,buenos aires,2024,17,dengue,11,mayores de 65 anos,1.0
999,desconocido,6,buenos aires,2024,14,dengue,11,mayores de 65 anos,1.0
999,desconocido,6,buenos aires,2024,9,dengue,11,mayores de 65 anos,2.0
999,desconocido,6,buenos aires,2024,9,dengue,5,de 10 a 14 anos,1.0
999,desconocido,90,tucuman,2024,14,dengue,10,de 45 a 65 anos,3.0
999,desconocido,90,tucuman,2024,14,dengue,11,mayores de 65 anos,3.0
999,desconocido,90,tucuman,2024,12,dengue,11,mayores de 65 anos,1.0
999,desconocido,90,tucuman,2024,13,dengue,4,de 5 a 9 anos,18.0
999,desconocido,90,tucuman,2024,7,dengue,4,de 5 a 9 anos,1.0
999,desconocido,90,tucuman,2024,14,dengue,5,de 10 a 14 anos,5.0
999,desconocido,94,tierra del fuego,2024,4,dengue,8,de 25 a 34 anos,1.0
1,comuna 1,2,caba,2024,16,dengue,10,de 45 a 65 anos,88.0
1,comuna 1,2,caba,2024,4,dengue,10,de 45 a 65 anos,11.0
1,comuna 1,2,caba,2024,6,dengue,11,mayores de 65 anos,20.0
1,comuna 1,2,caba,2024,7,dengue,11,mayores de 65 anos,42.0
1,comuna 1,2,caba,2024,17,dengue,2,de 13 a 24 meses,1.0
1,comuna 1,2,caba,2024,18,dengue,4,de 5 a 9 anos,3.0
1,comuna 1,2,caba,2024,17,dengue,5,de 10 a 14 anos,16.0
1,comuna 1,2,caba,2024,3,dengue,5,de 10 a 14 anos,2.0
1,comuna 1,2,caba,2024,5,dengue,5,de 10 a 14 anos,3.0
1,comuna 1,2,caba,2024,7,dengue,5,de 10 a 14 anos,8.0
1,comuna 1,2,caba,2024,14,dengue,6,de 15 a 19 anos,91.0
1,comuna 1,2,caba,2024,19,dengue,6,de 15 a 19 anos,11.0
1,comuna 1,2,caba,2024,13,dengue,7,de 20 a 24 anos,113.0
1,comuna 1,2,caba,2024,7,dengue,7,de 20 a 24 anos,31.0
1,comuna 1,2,caba,2024,10,dengue,8,de 25 a 34 anos,94.0
2,comuna 2,2,caba,2024,13,dengue,10,de 45 a 65 anos,4.0
2,comuna 2,2,caba,2024,4,dengue,11,mayores de 65 anos,1.0
999,desconocido,14,cordoba,2024,16,dengue,11,mayores de 65 anos,1.0
999,desconocido,14,cordoba,2024,17,dengue,11,mayores de 65 anos,1.0
999,desconocido,14,cordoba,2024,12,dengue,4,de 5 a 9 anos,1.0
999,desconocido,14,cordoba,2024,12,dengue,6,de 15 a 19 anos,1.0
999,desconocido,14,cordoba,2024,8,dengue,8,de 25 a 34 anos,1.0
999,desconocido,14,cordoba,2024,13,dengue,9,de 35 a 44 anos,5.0
999,desconocido,2,caba,2024,10,dengue,11,mayores de 65 anos,10.0
999,desconocido,2,caba,2024,12,dengue,3,de 2 a 4 anos,1.0
999,desconocido,2,caba,2024,13,dengue,5,de 10 a 14 anos,1.0
999,desconocido,2,caba,2024,8,dengue,5,de 10 a 14 anos,2.0
999,desconocido,2,caba,2024,17,dengue,6,de 15 a 19 anos,3.0
999,desconocido,2,caba,2024,10,dengue,7,de 20 a 24 anos,3.0
999,desconocido,2,caba,2024,14,dengue,8,de 25 a 34 anos,4.0
999,desconocido,2,caba,2024,18,dengue,8,de 25 a 34 anos,1.0
999,desconocido,2,caba,2024,9,dengue,8,de 25 a 34 anos,4.0
999,desconocido,2,caba,2024,1,dengue,9,de 35 a 44 anos,1.0
999,desconocido,2,caba,2024,10,dengue,9,de 35 a 44 anos,11.0
999,desconocido,22,chaco,2024,1,dengue,11,mayores de 65 anos,1.0
999,desconocido,6,buenos aires,2024,8,dengue,10,de 45 a 65 anos,1.0
999,desconocido,6,buenos aires,2024,13,dengue,11,mayores de 65 anos,4.0
999,desconocido,6,buenos aires,2024,9,dengue,8,de 25 a 34 anos,1.0
999,desconocido,6,buenos aires,2024,10,dengue,9,de 35 a 44 anos,1.0
999,desconocido,86,santiago del estero,2024,12,dengue,9,de 35 a 44 anos,1.0
999,desconocido,90,tucuman,2024,12,dengue,4,de 5 a 9 anos,13.0
999,desconocido,90,tucuman,2024,14,dengue,4,de 5 a 9 anos,9.0
999,desconocido,90,tucuman,2024,9,dengue,4,de 5 a 9 anos,1.0
999,desconocido,94,tierra del fuego,2024,11,dengue,9,de 35 a 44 anos,1.0
1,comuna 1,2,caba,2024,10,dengue,10,de 45 a 65 anos,114.0
1,comuna 1,2,caba,2024,18,dengue,11,mayores de 65 anos,101.0
1,comuna 1,2,caba,2024,9,dengue,11,mayores de 65 anos,273.0
1,comuna 1,2,caba,2024,12,dengue,11,mayores de 65 anos,148.0
1,comuna 1,2,caba,2024,9,dengue,2,de 13 a 24 meses,1.0
1,comuna 1,2,caba,2024,14,dengue,3,de 2 a 4 anos,1.0
1,comuna 1,2,caba,2024,5,dengue,4,de 5 a 9 anos,1.0
1,comuna 1,2,caba,2024,10,dengue,5,de 10 a 14 anos,55.0
1,comuna 1,2,caba,2024,12,dengue,5,de 10 a 14 anos,65.0
1,comuna 1,2,caba,2024,8,dengue,5,de 10 a 14 anos,21.0
1,comuna 1,2,caba,2024,18,dengue,7,de 20 a 24 anos,29.0
1,comuna 1,2,caba,2024,15,dengue,8,de 25 a 34 anos,75.0
1,comuna 1,2,caba,2024,21,dengue,8,de 25 a 34 anos,3.0
1,comuna 1,2,caba,2024,18,dengue,9,de 35 a 44 anos,59.0
2,comuna 2,2,caba,2024,11,dengue,11,mayores de 65 anos,4.0
2,comuna 2,2,caba,2024,10,dengue,5,de 10 a 14 anos,1.0
2,comuna 2,2,caba,2024,8,dengue,5,de 10 a 14 anos,1.0
2,comuna 2,2,caba,2024,20,dengue,6,de 15 a 19 anos,2.0
2,comuna 2,2,caba,2024,7,dengue,8,de 25 a 34 anos,2.0
2,comuna 2,2,caba,2024,14,dengue,9,de 35 a 44 anos,12.0
2,comuna 2,2,caba,2024,18,dengue,9,de 35 a 44 anos,1.0
3,comuna 3,2,caba,2024,15,dengue,10,de 45 a 65 anos,15.0
3,comuna 3,2,caba,2024,6,dengue,10,de 45 a 65 anos,3.0
3,comuna 3,2,caba,2024,7,dengue,10,de 45 a 65 anos,7.0
3,comuna 3,2,caba,2024,8,dengue,11,mayores de 65 anos,13.0
3,comuna 3,2,caba,2024,12,dengue,4,de 5 a 9 anos,1.0
3,comuna 3,2,caba,2024,7,dengue,6,de 15 a 19 anos,4.0
3,comuna 3,2,caba,2024,10,dengue,7,de 20 a 24 anos,6.0
3,comuna 3,2,caba,2024,11,dengue,7,de 20 a 24 anos,6.0
3,comuna 3,2,caba,2024,8,dengue,7,de 20 a 24 anos,2.0
3,comuna 3,2,caba,2024,15,dengue,8,de 25 a 34 anos,8.0
3,comuna 3,2,caba,2024,18,dengue,8,de 25 a 34 anos,2.0
3,comuna 3,2,caba,2024,7,dengue,8,de 25 a 34 anos,1.0
3,comuna 3,2,caba,2024,1,dengue,9,de 35 a 44 anos,2.0
3,comuna 3,2,caba,2024,14,dengue,9,de 35 a 44 anos,27.0
4,comuna 4,2,caba,2024,18,dengue,10,de 45 a 65 anos,12.0
4,comuna 4,2,caba,2024,19,dengue,10,de 45 a 65 anos,4.0
4,comuna 4,2,caba,2024,3,dengue,10,de 45 a 65 anos,3.0
4,comuna 4,2,caba,2024,5,dengue,10,de 45 a 65 anos,3.0
4,comuna 4,2,caba,2024,10,dengue,11,mayores de 65 anos,28.0
4,comuna 4,2,caba,2024,11,dengue,11,mayores de 65 anos,37.0
4,comuna 4,2,caba,2024,8,dengue,11,mayores de 65 anos,23.0
4,comuna 4,2,caba,2024,21,dengue,6,de 15 a 19 anos,1.0
4,comuna 4,2,caba,2024,12,dengue,8,de 25 a 34 anos,24.0
4,comuna 4,2,caba,2024,2,dengue,8,de 25 a 34 anos,1.0
5,comuna 5,2,caba,2024,13,dengue,11,mayores de 65 anos,32.0
5,comuna 5,2,caba,2024,13,dengue,11,mayores de 65 anos,10.0
5,comuna 5,2,caba,2024,19,dengue,6,de 15 a 19 anos,1.0
5,comuna 5,2,caba,2024,10,dengue,8,de 25 a 34 anos,5.0
5,comuna 5,2,caba,2024,12,dengue,8,de 25 a 34 anos,9.0
5,comuna 5,2,caba,2024,9,dengue,8,de 25 a 34 anos,11.0
5,comuna 5,2,caba,2024,8,dengue,9,de 35 a 44 anos,7.0
6,comuna 6,2,caba,2024,13,dengue,10,de 45 a 65 anos,19.0
6,comuna 6,2,caba,2024,8,dengue,10,de 45 a 65 anos,6.0
6,comuna 6,2,caba,2024,19,dengue,11,mayores de 65 anos,1.0
6,comuna 6,2,caba,2024,2,dengue,11,mayores de 65 anos,1.0
6,comuna 6,2,caba,2024,15,dengue,11,mayores de 65 anos,2.0
6,comuna 6,2,caba,2024,9,dengue,11,mayores de 65 anos,9.0
6,comuna 6,2,caba,2024,9,dengue,5,de 10 a 14 anos,2.0
6,comuna 6,2,caba,2024,11,dengue,6,de 15 a 19 anos,9.0
6,comuna 6,2,caba,2024,17,dengue,7,de 20 a 24 anos,4.0
6,comuna 6,2,caba,2024,8,dengue,8,de 25 a 34 anos,1.0
6,comuna 6,2,caba,2024,16,dengue,9,de 35 a 44 anos,6.0
6,comuna 6,2,caba,2024,20,dengue,9,de 35 a 44 anos,1.0
6,comuna 6,2,caba,2024,5,dengue,9,de 35 a 44 anos,2.0
6,comuna 6,2,caba,2024,6,dengue,9,de 35 a 44 anos,3.0
7,comuna 7,2,caba,2024,8,dengue,11,mayores de 65 anos,19.0
7,comuna 7,2,caba,2024,13,dengue,4,de 5 a 9 anos,2.0
7,comuna 7,2,caba,2024,16,dengue,6,de 15 a 19 anos,5.0
7,comuna 7,2,caba,2024,5,dengue,6,de 15 a 19 anos,3.0
7,comuna 7,2,caba,2024,11,dengue,7,de 20 a 24 anos,10.0
7,comuna 7,2,caba,2024,8,dengue,7,de 20 a 24 anos,9.0
7,comuna 7,2,caba,2024,12,dengue,8,de 25 a 34 anos,10.0
8,comuna 8,2,caba,2024,7,dengue,6,de 15 a 19 anos,2.0
8,comuna 8,2,caba,2024,11,dengue,7,de 20 a 24 anos,12.0
8,comuna 8,2,caba,2024,18,dengue,7,de 20 a 24 anos,1.0
8,comuna 8,2,caba,2024,8,dengue,7,de 20 a 24 anos,8.0
8,comuna 8,2,caba,2024,18,dengue,8,de 25 a 34 anos,5.0
8,comuna 8,2,caba,2024,5,dengue,8,de 25 a 34 anos,2.0
8,comuna 8,2,caba,2024,18,dengue,9,de 35 a 44 anos,12.0
9,comuna 9,2,caba,2024,15,dengue,10,de 45 a 65 anos,8.0
9,comuna 9,2,caba,2024,18,dengue,10,de 45 a 65 anos,5.0
9,comuna 9,2,caba,2024,3,dengue,10,de 45 a 65 anos,2.0
9,comuna 9,2,caba,2024,17,dengue,11,mayores de 65 anos,7.0
9,comuna 9,2,caba,2024,19,dengue,11,mayores de 65 anos,2.0
9,comuna 9,2,caba,2024,3,dengue,11,mayores de 65 anos,1.0
9,comuna 9,2,caba,2024,16,dengue,11,mayores de 65 anos,2.0
9,comuna 9,2,caba,2024,10,dengue,6,de 15 a 19 anos,3.0
9,comuna 9,2,caba,2024,8,dengue,6,de 15 a 19 anos,7.0
9,comuna 9,2,caba,2024,21,dengue,7,de 20 a 24 anos,2.0
9,comuna 9,2,caba,2024,4,dengue,8,de 25 a 34 anos,1.0
9,comuna 9,2,caba,2024,5,dengue,9,de 35 a 44 anos,1.0
9,comuna 9,2,caba,2024,6,dengue,9,de 35 a 44 anos,1.0
9,comuna 9,2,caba,2024,7,dengue,9,de 35 a 44 anos,3.0
10,comuna 10,2,caba,2024,14,dengue,11,mayores de 65 anos,11.0
10,comuna 10,2,caba,2024,15,dengue,11,mayores de 65 anos,9.0
10,comuna 10,2,caba,2024,9,dengue,11,mayores de 65 anos,6.0
10,comuna 10,2,caba,2024,13,dengue,4,de 5 a 9 anos,1.0
10,comuna 10,2,caba,2024,14,dengue,7,de 20 a 24 anos,3.0
10,comuna 10,2,caba,2024,16,dengue,7,de 20 a 24 anos,1.0
