departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
1,caba,2,caba,2022,8,dengue,11,mayores de 65 anos,1
1,caba,2,caba,2022,9,dengue,8,de 25 a 34 anos,1
1,caba,2,caba,2022,16,dengue,10,de 45 a 65 anos,1
1,caba,2,caba,2022,49,dengue,6,de 15 a 19 anos,1
1,caba,2,caba,2022,48,dengue,10,de 45 a 65 anos,1
1,caba,2,caba,2022,48,dengue,11,mayores de 65 anos,1
1,caba,2,caba,2022,18,dengue,11,mayores de 65 anos,2
1,caba,2,caba,2022,48,dengue,11,mayores de 65 anos,1
28,almirante brown,6,buenos aires,2022,14,dengue,11,mayores de 65 anos,1
245,ensenada,6,buenos aires,2022,17,dengue,9,de 35 a 44 anos,1
270,ezeiza,6,buenos aires,2022,32,dengue,9,de 35 a 44 anos,1
371,general san martin,6,buenos aires,2022,40,dengue,5,de 10 a 14 anos,1
410,ituzaingo,6,buenos aires,2022,10,dengue,11,mayores de 65 anos,1
410,ituzaingo,6,buenos aires,2022,11,dengue,11,mayores de 65 anos,1
427,la matanza,6,buenos aires,2022,17,dengue,6,de 15 a 19 anos,1
427,la matanza,6,buenos aires,2022,7,dengue,6,de 15 a 19 anos,1
427,la matanza,6,buenos aires,2022,8,dengue,6,de 15 a 19 anos,2
427,la matanza,6,buenos aires,2022,9,dengue,6,de 15 a 19 anos,2
427,la matanza,6,buenos aires,2022,10,dengue,6,de 15 a 19 anos,1
427,la matanza,6,buenos aires,2022,13,dengue,6,de 15 a 19 anos,1
427,la matanza,6,buenos aires,2022,14,dengue,6,de 15 a 19 anos,2
427,la matanza,6,buenos aires,2022,9,dengue,7,de 20 a 24 anos,2
427,la matanza,6,buenos aires,2022,10,dengue,7,de 20 a 24 anos,2
427,la matanza,6,buenos aires,2022,12,dengue,7,de 20 a 24 anos,2
427,la matanza,6,buenos aires,2022,13,dengue,7,de 20 a 24 anos,3
427,la matanza,6,buenos aires,2022,15,dengue,7,de 20 a 24 anos,3
427,la matanza,6,buenos aires,2022,16,dengue,7,de 20 a 24 anos,2
427,la matanza,6,buenos aires,2022,17,dengue,7,de 20 a 24 anos,2
427,la matanza,6,buenos aires,2022,20,dengue,7,de 20 a 24 anos,1
427,la matanza,6,buenos aires,2022,14,dengue,4,de 5 a 9 anos,1
427,la matanza,6,buenos aires,2022,10,dengue,8,de 25 a 34 anos,1
427,la matanza,6,buenos aires,2022,11,dengue,8,de 25 a 34 anos,1
427,la matanza,6,buenos aires,2022,12,dengue,8,de 25 a 34 anos,2
427,la matanza,6,buenos aires,2022,15,dengue,8,de 25 a 34 anos,3
427,la matanza,6,buenos aires,2022,16,dengue,8,de 25 a 34 anos,1
427,la matanza,6,buenos aires,2022,17,dengue,8,de 25 a 34 anos,1
427,la matanza,6,buenos aires,2022,19,dengue,8,de 25 a 34 anos,2
427,la matanza,6,buenos aires,2022,7,dengue,9,de 35 a 44 anos,1
427,la matanza,6,buenos aires,2022,8,dengue,9,de 35 a 44 anos,1
427,la matanza,6,buenos aires,2022,10,dengue,9,de 35 a 44 anos,1
427,la matanza,6,buenos aires,2022,11,dengue,9,de 35 a 44 anos,1
427,la matanza,6,buenos aires,2022,12,dengue,9,de 35 a 44 anos,2
427,la matanza,6,buenos aires,2022,14,dengue,9,de 35 a 44 anos,6
427,la matanza,6,buenos aires,2022,15,dengue,9,de 35 a 44 anos,2
427,la matanza,6,buenos aires,2022,16,dengue,9,de 35 a 44 anos,2
427,la matanza,6,buenos aires,2022,18,dengue,9,de 35 a 44 anos,2
427,la matanza,6,buenos aires,2022,4,dengue,10,de 45 a 65 anos,1
427,la matanza,6,buenos aires,2022,7,dengue,10,de 45 a 65 anos,1
427,la matanza,6,buenos aires,2022,8,dengue,10,de 45 a 65 anos,1
427,la matanza,6,buenos aires,2022,9,dengue,10,de 45 a 65 anos,1
427,la matanza,6,buenos aires,2022,10,dengue,10,de 45 a 65 anos,3
427,la matanza,6,buenos aires,2022,12,dengue,10,de 45 a 65 anos,1
427,la matanza,6,buenos aires,2022,13,dengue,10,de 45 a 65 anos,2
